,title,price,link
240,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop","69,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjQ2ODAzMTg1NDMzNDY5OjE3NTExNDQxNzA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ1NjEyMTE0NjMzMjo6MDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%253Aamzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26crid%3D1YRU0X283B2X2%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CX8XPKWJ%26pd_rd_r%3Da894741b-2cf7-41a4-b2c3-339816f81398%26pd_rd_w%3DnYXDY%26pd_rd_wg%3DjOgCt%26pf_rd_p%3D24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26pf_rd_r%3DPAVYPED7RQ7SVFH1TMST%26qid%3D1751144170%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C257%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=DUB
241,"TechzereÂ® Aluminium Vertical Laptop Stand, Double Desktop Stand Holder with Adjustable Dock, Fits All MacBook HP Dell Acer Lenovo Microsoft Samsung Sony ASUS Chromebook (up to 20.3 '') Updated Dual 2 Slots (Silver)","1,899",https://amazon.in//Techzere-Aluminium-Vertical-Adjustable-Chromebook/dp/B07GSRVV5D/ref=sr_1_244?crid=1YRU0X283B2X2&dib=eyJ2IjoiMSJ9.HbjajgE9FDz0m2-v3ve2qoY0UzA2HmopFbP7KP7anqQ-x_lpyYEbONjHbEhNIC_KYxN_StWxgnLJ5KgUD_mFaCWdv2tA5fG1x59_30cbqxwObVsJqaO_LcfkSXKKud1obe2zrbqQ1HeZmdsURzpnGtmE0Mly0B8Dc7SOoK2vxxpmWHGMRwia75oFgryQizXeD_Zn7ekynD0p02hFE5iWcQZoiRHTPBtV86p92AqRu5M.gYnWxC2ALE9bBhxugiVn5smug4WEFl1P1S4kgDpFDVQ&dib_tag=se&keywords=laptop&qid=1751144235&sprefix=laptop%2Caps%2C257&sr=8-244
242,"ASUS Vivobook S15,Snapdragon X Plus,Copilot+ AI PC(Qualcomm Adreno iGPU/45TOPS/16GB RAM/1TB SSD/3K OLED/15.6""/120Hz/Backlit Keyboard/70WHrs/Windows 11/Office 2021/Cool Silver/1.42 kg) S5507QA-MA551WS","74,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODc5NjMxODM5NTM2ODc0OjE3NTExNDQyMzU6c3BfYnRmOjMwMDU3ODQ1NjI3NzAzMjo6MDo6&url=%2FASUS-Vivobook-OLED-Snapdragon-S5507QA-MA551WS%2Fdp%2FB08H262HZY%2Fref%3Dsr_1_245_sspa%3Fcrid%3D1YRU0X283B2X2%26dib%3DeyJ2IjoiMSJ9.HbjajgE9FDz0m2-v3ve2qoY0UzA2HmopFbP7KP7anqQ-x_lpyYEbONjHbEhNIC_KYxN_StWxgnLJ5KgUD_mFaCWdv2tA5fG1x59_30cbqxwObVsJqaO_LcfkSXKKud1obe2zrbqQ1HeZmdsURzpnGtmE0Mly0B8Dc7SOoK2vxxpmWHGMRwia75oFgryQizXeD_Zn7ekynD0p02hFE5iWcQZoiRHTPBtV86p92AqRu5M.gYnWxC2ALE9bBhxugiVn5smug4WEFl1P1S4kgDpFDVQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751144235%26sprefix%3Dlaptop%252Caps%252C257%26sr%3D8-245-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
243,"Lenovo IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot+ AI PC(24GB RAM/1TB SSD/14(35.5cm) WUXGA OLED/AI Now/50TOPS/Win 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.4Kg), 83HX001NIN AI Laptop","86,231",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2ODc5NjMxODM5NTM2ODc0OjE3NTExNDQyMzU6c3BfYnRmOjMwMDU2OTczNDg3ODUzMjo6MDo6&url=%2FLenovo-IdeaPad-Copilot-Keyboard-83HX001NIN%2Fdp%2FB0F4XHB911%2Fref%3Dsr_1_246_sspa%3Fcrid%3D1YRU0X283B2X2%26dib%3DeyJ2IjoiMSJ9.HbjajgE9FDz0m2-v3ve2qoY0UzA2HmopFbP7KP7anqQ-x_lpyYEbONjHbEhNIC_KYxN_StWxgnLJ5KgUD_mFaCWdv2tA5fG1x59_30cbqxwObVsJqaO_LcfkSXKKud1obe2zrbqQ1HeZmdsURzpnGtmE0Mly0B8Dc7SOoK2vxxpmWHGMRwia75oFgryQizXeD_Zn7ekynD0p02hFE5iWcQZoiRHTPBtV86p92AqRu5M.gYnWxC2ALE9bBhxugiVn5smug4WEFl1P1S4kgDpFDVQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751144235%26sprefix%3Dlaptop%252Caps%252C257%26sr%3D8-246-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
244,"HP Pavilion AI Laptop, Intel Core Ultra 5 125H 12 Tops, (16GB LPDDR5x, 512GB SSD), WQXGA,IPS, 300 nits, 14''(35.6cm),Win 11, M365 Basic(1yr), Office Home24, Blue,1.44kg,5MP Camera w/Shutter, ew1112TU","84,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODI4Nzg5MDE3NzE5MTU6MTc1MTE0NDIzODpzcF9hdGZfbmV4dDozMDA2MDA2MDU4OTE5MzI6OjA6Og&url=%2FHP-Pavilion-LPDDR5x-Shutter-ew1112TU%2Fdp%2FB0DTYFCMTS%2Fref%3Dsr_1_241_sspa%3Fcrid%3D1YRU0X283B2X2%26dib%3DeyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751144238%26sprefix%3Dlaptop%252Caps%252C257%26sr%3D8-241-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
245,"HP OmniBook X Laptop, SnapdragonÂ® X Elite X1E-78-100,14inch(35.6 cm),2.2K Touch Display,IPS,16GB LPDDR5x,1TB SSD,Next Gen Windows, Copilot +,Blue,1.34 kg,14-fe0121QU","1,20,499",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODI4Nzg5MDE3NzE5MTU6MTc1MTE0NDIzODpzcF9hdGZfbmV4dDozMDA1NzgzNDY4MDA5MzI6OjA6Og&url=%2FHP-OmniBook-Snapdragon%25C2%25AE-X1E-78-100-14-fe0121QU%2Fdp%2FB0D84427H6%2Fref%3Dsr_1_242_sspa%3Fcrid%3D1YRU0X283B2X2%26dib%3DeyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751144238%26sprefix%3Dlaptop%252Caps%252C257%26sr%3D8-242-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
246,"Zebronics 200HB USB 3.0 4 Port hub with Hi Speed Data Transfer, Aluminum + ABS Body, 15cm Cable, Sleek Design and Plug Play Usage",269,https://amazon.in//Zebronics-200HB-Transfer-Aluminum-Design/dp/B0BBQK41CV/ref=sr_1_243?crid=1YRU0X283B2X2&dib=eyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8&dib_tag=se&keywords=laptop&qid=1751144238&sprefix=laptop%2Caps%2C257&sr=8-243
247,"TechzereÂ® Aluminium Vertical Laptop Stand, Double Desktop Stand Holder with Adjustable Dock, Fits All MacBook HP Dell Acer Lenovo Microsoft Samsung Sony ASUS Chromebook (up to 20.3 '') Updated Dual 2 Slots (Silver)","1,899",https://amazon.in//Techzere-Aluminium-Vertical-Adjustable-Chromebook/dp/B07GSRVV5D/ref=sr_1_244?crid=1YRU0X283B2X2&dib=eyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8&dib_tag=se&keywords=laptop&qid=1751144238&sprefix=laptop%2Caps%2C257&sr=8-244
248,"eMeet 1080P Webcam - USB Webcam with Microphone & Physical Privacy Cover, Noise-Canceling Mic, Auto Light Correction, C950 Ultra Compact FHD Web Cam w/ 70Â°View for Meeting/Online Classes/Zoom/YouTube","1,849",https://amazon.in//eMeet-1080P-Webcam-Microphone-Noise-Canceling/dp/B0CP6BTQKR/ref=sr_1_245?crid=1YRU0X283B2X2&dib=eyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8&dib_tag=se&keywords=laptop&qid=1751144238&sprefix=laptop%2Caps%2C257&sr=8-245
249,"Portronics Toad 101 Wired Optical Mouse with 1200 DPI, Plug & Play, Hi-Optical Tracking, 1.25M Cable Length, 30Lakhs Click Life(Black)",149,https://amazon.in//Portronics-Optical-Hi-Optical-Tracking-Million/dp/B0BRKSQ7Z2/ref=sr_1_246?crid=1YRU0X283B2X2&dib=eyJ2IjoiMSJ9.mXlzWNd8Db-EHHjjcOkYpmranjQg2DeSrzE6-rw5bqkA8G9UxrsMXnlxSyBbL2bHTFi4x3D4Qb1pQe4nE9fcrb_Y3ffis5HbhSo5p2gspxEi1cyTZoTfz6Ha4XkCruOPtsT8NXweUgNS_RAQ9xatCIWm_UCjEWj304mPiwr9bHsQhrC1_cdMegJQ-tgTEU7MqBR9_WzW33DmOD63WtW59pMP7OSGKVwYJn4sDtPzXe8.Tx50kaOKznpSzv_lCylZRvT4mkp7EuZ3ncIuUYCQCc8&dib_tag=se&keywords=laptop&qid=1751144238&sprefix=laptop%2Caps%2C257&sr=8-246
